Source,AuthorName,Experiment,Year,Group,Yes,No,Total,study,treatment,observed_rate,predicted_mean,lower90,upper90,group_label
Bohner2014.Ex1,Bohner & Schlüter,1,2014,Control,123,24,147,Bohner2014.Ex1,0,0.8367346938775511,0.7937006802721088,0.7275510204081633,0.8571428571428571,Control
Bohner2014.Ex1,Bohner & Schlüter,1,2014,Social Norm,472,104,576,Bohner2014.Ex1,1,0.8194444444444444,0.8270555555555555,0.7899305555555556,0.8628472222222222,Social norm
Bohner2014.Ex2,Bohner & Schlüter,2,2014,Control,28,2,30,Bohner2014.Ex2,0,0.9333333333333333,0.7616666666666667,0.6333333333333333,0.9,Control
Bohner2014.Ex2,Bohner & Schlüter,2,2014,Social Norm,101,31,132,Bohner2014.Ex2,1,0.7651515151515151,0.7987272727272727,0.7196969696969697,0.8712121212121212,Social norm
Goldstein.2008.Ex1,Goldstein et al.,1,2008,Control,74,137,211,Goldstein.2008.Ex1,0,0.35071090047393366,0.37411374407582937,0.3033175355450237,0.44549763033175355,Control
Goldstein.2008.Ex1,Goldstein et al.,1,2008,Social Norm,98,124,222,Goldstein.2008.Ex1,1,0.44144144144144143,0.4256036036036036,0.36036036036036034,0.49099099099099097,Social norm
Goldstein.2008.Ex2,Goldstein et al.,2,2008,Control,103,174,277,Goldstein.2008.Ex2,0,0.37184115523465705,0.3903249097472924,0.33212996389891697,0.44765342960288806,Control
Goldstein.2008.Ex2,Goldstein et al.,2,2008,Social Norm,587,731,1318,Goldstein.2008.Ex2,1,0.44537177541729894,0.4429006069802731,0.41422610015174505,0.47268588770864944,Social norm
Mair2010,Mair & Bergin-Seers,1,2010,Control,21,4,25,Mair2010,0,0.84,0.81628,0.64,0.96,Control
Mair2010,Mair & Bergin-Seers,1,2010,Social Norm,21,3,24,Mair2010,1,0.875,0.845,0.7083333333333334,0.9583333333333334,Social norm
Schulz2008.Ex2,Schulz et al.,2,2008,Control,77,58,135,Schulz2008.Ex2,0,0.5703703703703704,0.5706592592592593,0.48148148148148145,0.6518518518518519,Control
Schulz2008.Ex2,Schulz et al.,2,2008,Social Norm,406,249,655,Schulz2008.Ex2,1,0.6198473282442748,0.6204687022900763,0.5770992366412214,0.6610687022900763,Social norm
Schulz2008.Ex3,Schulz et al.,3,2008,Control,82,105,187,Schulz2008.Ex3,0,0.4385026737967914,0.4460374331550802,0.37967914438502676,0.5240641711229946,Control
Schulz2008.Ex3,Schulz et al.,3,2008,Social Norm,278,277,555,Schulz2008.Ex3,1,0.5009009009009009,0.4996630630630631,0.4540540540540541,0.5459459459459459,Social norm
